id,payout_uuid,transaction_id,sale_id,recipient_entity,recipient_role,amount,currency,status,notion_page_url,created_at,sent_at
2,c95d285a-828b-49e3-90bd-829921cc617a,,,1,creator,10000,USD,queued,,2025-10-10T04:58:35.506+00:00,
3,f4f324e3-cbfc-4fba-b9bd-a8be2301c8f0,,,1,creator,5000,USD,queued,,2025-10-10T04:58:36.6+00:00,
4,141e1564-7ce9-4d8c-ba38-28b61593b923,,,1,creator,10000,USD,queued,,2025-10-10T05:17:51.124+00:00,
5,51a19044-92c1-4bb0-9be3-21ccd40e9974,,,1,creator,5000,USD,queued,,2025-10-10T05:17:51.974+00:00,
6,02cb1269-5f60-48dd-b6fd-4ff66df40833,,,4,creator,10000,USD,queued,,2025-10-10T05:17:53.075+00:00,
7,93f25381-defa-4c6c-bc77-2a4d998b6226,,,1,creator,10000,USD,queued,,2025-10-10T05:17:54.089+00:00,
8,cbd0c0d9-fa10-4cde-b53b-ee7da4998306,,,1,creator,10000,USD,queued,,2025-10-10T05:21:06.265+00:00,
9,37b1c2a5-9aa9-409b-8cda-4d021c489039,,,1,creator,5000,USD,queued,,2025-10-10T05:21:07.013+00:00,
10,61fefa40-25b9-4a7e-a4fe-9b876fbf552f,,,4,creator,10000,USD,queued,,2025-10-10T05:21:07.565+00:00,
11,da48a26a-ed62-43ef-bc34-84afb1072298,,,1,creator,10000,USD,queued,,2025-10-10T05:21:08.143+00:00,
12,476eff8e-ada1-4fb5-a5b9-a13d4f2a47e1,,,1,creator,10000,USD,queued,,2025-10-10T05:27:50.897+00:00,
13,86c7efc8-aa58-4911-852b-ee3467f7d905,,,4,creator,10000,USD,queued,,2025-10-10T05:27:51.593+00:00,
14,0394bbf6-ca14-4017-8567-956ee1040a25,,,1,creator,10000,USD,queued,,2025-10-11T12:26:15.883+00:00,
15,1554f4d2-bff5-4a98-a987-c265cf198f61,,,4,creator,10000,USD,queued,,2025-10-11T12:26:18.009+00:00,
16,051c5ca6-e3af-4056-b3a2-b9f7e20eb31c,,,1,creator,10000,USD,queued,,2025-10-11T12:27:05.05+00:00,
17,dd2df401-2f28-4b5b-b372-7badc7ad9393,,,4,creator,10000,USD,queued,,2025-10-11T12:27:05.903+00:00,
18,ba139505-7783-415d-89a3-a3e6a92bcd64,,,1,creator,10000,USD,queued,,2025-10-11T12:36:58.85+00:00,
19,9d37d0f3-b1fd-4497-86a2-35a4f6099272,,,4,creator,10000,USD,queued,,2025-10-11T12:36:59.759+00:00,
20,eacae9ed-44a2-4fc2-b48f-5a8faf3bfa57,,,1,creator,10000,USD,queued,,2025-10-11T12:56:16.017+00:00,
21,8f1bd9f1-9527-439d-b4e0-c3a94d96744e,,,4,creator,10000,USD,queued,,2025-10-11T12:56:17.319+00:00,
22,1098c423-e34d-4c48-b9e4-08242f0ef70e,,,1,creator,10000,USD,queued,,2025-10-11T12:56:42.62+00:00,
23,08ac3f23-3149-4d34-9755-eb25d992a0cd,,,4,creator,10000,USD,queued,,2025-10-11T12:56:43.317+00:00,
24,d42420c8-d9df-44fe-9e9c-bbdf18a1886f,,,1,creator,10000,USD,queued,,2025-10-11T13:03:15.047+00:00,
25,0eeccef2-2524-4993-bbb7-fb5f0875699b,,,4,creator,10000,USD,queued,,2025-10-11T13:03:15.774+00:00,
26,f59e7eab-8a12-4fd0-becb-0f3aef59eec9,,,1,creator,10000,USD,queued,,2025-10-11T13:30:38.58+00:00,
27,dbb68a3f-c6b1-4c52-9e4b-db31a94a5e20,,,4,creator,10000,USD,queued,,2025-10-11T13:30:40.127+00:00,
28,c1f67b13-1947-4e7c-93a7-693f8bd73614,,,1,creator,10000,USD,queued,,2025-10-11T13:51:47.228+00:00,
29,f54148ff-0a06-4a26-b01c-cbdd0d2a6aff,,,4,creator,10000,USD,queued,,2025-10-11T13:51:48.763+00:00,
30,b77ae0e5-d525-47a7-bfc2-281b7f9d7ff3,,,1,creator,10000,USD,queued,,2025-10-11T14:15:45.879+00:00,
31,cb14af72-a2f8-4040-bc53-a1daf3e94440,,,4,creator,10000,USD,queued,,2025-10-11T14:15:46.767+00:00,
32,29274c1b-c3ba-404d-afbd-ec36a1a2cf7f,,,1,creator,10000,USD,queued,,2025-10-11T14:36:55.368+00:00,
33,57a9c3c8-1259-46e2-a945-14cd3ceed274,,,4,creator,10000,USD,queued,,2025-10-11T14:36:56.63+00:00,
34,3d7aef7e-8d4e-4ab0-afa7-29c0acf87c05,,,1,creator,10000,USD,queued,,2025-10-11T14:51:42.395+00:00,
35,a613f59e-bf85-44c6-af33-bbc8523e56fa,,,4,creator,10000,USD,queued,,2025-10-11T14:51:43.87+00:00,
36,3fb88813-5b20-4642-969d-518773cba0f8,,,1,creator,10000,USD,queued,,2025-10-11T15:17:06.614+00:00,
37,d849e01b-7b5f-41b3-9891-c7b7404d5754,,,4,creator,10000,USD,queued,,2025-10-11T15:17:08.389+00:00,
38,0eab0999-31c2-4d3b-bffd-fe636e0b1aa1,,,1,creator,10000,USD,queued,,2025-10-11T15:37:36.912+00:00,
39,c6549e81-8033-4a00-a606-32c6846d30e2,,,4,creator,10000,USD,queued,,2025-10-11T15:37:38.69+00:00,
40,c7a439a0-7a55-4ac6-a28f-0386ae78a18b,,,1,creator,10000,USD,queued,,2025-10-11T15:51:44.98+00:00,
