recipient_role,recipient_id,pct,amount,status,notion_sync,notion_page_url,created_at,sent_at,currency,sale_id,payout_id
ip_holder,Vault IP LLC,60.00,6000.00,queued,false,,2025-09-14 06:17:18.719697+00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,05dbb417-db78-4af1-8f50-95086a1ef659
,,,10000.00,queued,false,,2025-09-14 06:06:25.370344+00,,,adac77d3-a863-42ed-aabd-83751e45e809,1d4e4971-c5e5-48cf-8239-04bafd073778
,,,10000.00,queued,false,,2025-09-14 06:17:18.719697+00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,23969ead-0459-4991-addb-eac7bff41de9
creator,Tal-01,20.00,2000.00,queued,false,,2025-09-14 06:17:18.719697+00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,329e2e57-de22-4a27-bea4-7bb33f2e09b4
ip_holder,Vault IP LLC,60.00,3000.00,queued,false,,2025-09-14 06:03:42.889701+00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,524266e8-b710-41b9-915f-118591a174ad
,,,10000.00,queued,false,,2025-09-14 06:08:46.603425+00,,,e7420313-6110-41ba-87a9-f6a5991d815a,5dbf0354-0df4-4c14-9a43-adb7e2558f2d
,,,5000.00,queued,false,,2025-09-14 06:03:42.889701+00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,6dc90772-b253-4fee-99dd-f8e38a65322a
referrer,Ref-01,20.00,1000.00,queued,false,,2025-09-14 06:03:42.889701+00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,86b3f5e7-c66f-42f8-8cb8-15bf2fa3c671
referrer,Ref-09,20.00,2000.00,queued,false,,2025-09-14 06:17:18.719697+00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,90ba0aef-212c-4329-9ff0-ac56831b77ba
ip_holder,Vault IP LLC,60.00,6000.00,queued,false,,2025-09-14 06:08:46.603425+00,,,e7420313-6110-41ba-87a9-f6a5991d815a,ae39ed3a-4626-49a1-968d-d4707638a139
creator,Tal-02,20.00,2000.00,queued,false,,2025-09-14 06:08:46.603425+00,,,e7420313-6110-41ba-87a9-f6a5991d815a,ae71b03b-f338-4ca3-b841-6bade799bd8a
creator,Tal-01,20.00,2000.00,queued,false,,2025-09-14 06:06:25.370344+00,,,adac77d3-a863-42ed-aabd-83751e45e809,b6fe600d-4776-4ca4-b71e-fc7e656c3848
ip_holder,Vault IP LLC,60.00,6000.00,queued,false,,2025-09-14 06:06:25.370344+00,,,adac77d3-a863-42ed-aabd-83751e45e809,d1a44f94-477a-4ba1-b477-2a5865e8fb03
referrer,Ref-04,20.00,2000.00,queued,false,,2025-09-14 06:06:25.370344+00,,,adac77d3-a863-42ed-aabd-83751e45e809,eaf77c5a-771b-4603-8f78-588e7d31272d
referrer,Ref-05,20.00,2000.00,queued,false,,2025-09-14 06:08:46.603425+00,,,e7420313-6110-41ba-87a9-f6a5991d815a,f08ccf5e-bf8d-42e9-abb0-3428299c1041
creator,Tal-01,20.00,1000.00,queued,false,,2025-09-14 06:03:42.889701+00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,f12da173-3930-4f33-8199-a5152455a17d
