recipient_role,recipient_id,pct,amount,status,notion_sync,notion_page_url,created_at,sent_at,currency,sale_id,payout_id
creator,Tal-01,20,1000,queued,true,271037da-34f2-8120-8e33-dd5527f3dfd0,2025-09-14T06:03:42.889701+00:00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,f12da173-3930-4f33-8199-a5152455a17d
referrer,Ref-01,20,1000,queued,true,271037da-34f2-81fe-afd2-d5229044569c,2025-09-14T06:03:42.889701+00:00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,86b3f5e7-c66f-42f8-8cb8-15bf2fa3c671
,,,5000,queued,true,271037da-34f2-81cf-bbd7-cef5034d63ac,2025-09-14T06:03:42.889701+00:00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,6dc90772-b253-4fee-99dd-f8e38a65322a
ip_holder,Vault IP LLC,60,3000,queued,true,271037da-34f2-8127-aba7-d6fe231c4690,2025-09-14T06:03:42.889701+00:00,,,c3f440ef-ad4f-4fe8-af48-b18aa000e0ae,524266e8-b710-41b9-915f-118591a174ad
,,,10000,queued,true,271037da-34f2-8181-9155-da788ea46147,2025-09-14T06:06:25.370344+00:00,,,adac77d3-a863-42ed-aabd-83751e45e809,1d4e4971-c5e5-48cf-8239-04bafd073778
ip_holder,Vault IP LLC,60,6000,queued,true,271037da-34f2-81ff-8ef2-c7b37341eedd,2025-09-14T06:06:25.370344+00:00,,,adac77d3-a863-42ed-aabd-83751e45e809,d1a44f94-477a-4ba1-b477-2a5865e8fb03
creator,Tal-01,20,2000,queued,true,271037da-34f2-8169-a3b0-da985c1fdd6c,2025-09-14T06:06:25.370344+00:00,,,adac77d3-a863-42ed-aabd-83751e45e809,b6fe600d-4776-4ca4-b71e-fc7e656c3848
referrer,Ref-04,20,2000,queued,true,271037da-34f2-81f7-8843-cb7f8f487b7d,2025-09-14T06:06:25.370344+00:00,,,adac77d3-a863-42ed-aabd-83751e45e809,eaf77c5a-771b-4603-8f78-588e7d31272d
,,,10000,queued,true,271037da-34f2-816c-b163-f5da55316137,2025-09-14T06:08:46.603425+00:00,,,e7420313-6110-41ba-87a9-f6a5991d815a,5dbf0354-0df4-4c14-9a43-adb7e2558f2d
ip_holder,Vault IP LLC,60,6000,queued,true,271037da-34f2-8138-80d2-eb7327e151cb,2025-09-14T06:08:46.603425+00:00,,,e7420313-6110-41ba-87a9-f6a5991d815a,ae39ed3a-4626-49a1-968d-d4707638a139
creator,Tal-02,20,2000,queued,true,271037da-34f2-81ce-808e-ccf667830302,2025-09-14T06:08:46.603425+00:00,,,e7420313-6110-41ba-87a9-f6a5991d815a,ae71b03b-f338-4ca3-b841-6bade799bd8a
referrer,Ref-05,20,2000,queued,true,271037da-34f2-818b-bff6-d0cff316e115,2025-09-14T06:08:46.603425+00:00,,,e7420313-6110-41ba-87a9-f6a5991d815a,f08ccf5e-bf8d-42e9-abb0-3428299c1041
,,,10000,queued,true,271037da-34f2-8118-aaa6-e20e8b6a5b67,2025-09-14T06:17:18.719697+00:00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,23969ead-0459-4991-addb-eac7bff41de9
ip_holder,Vault IP LLC,60,6000,queued,true,271037da-34f2-817d-b536-e0078465703f,2025-09-14T06:17:18.719697+00:00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,05dbb417-db78-4af1-8f50-95086a1ef659
creator,Tal-01,20,2000,queued,true,271037da-34f2-8126-9477-f97cc0f67354,2025-09-14T06:17:18.719697+00:00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,329e2e57-de22-4a27-bea4-7bb33f2e09b4
referrer,Ref-09,20,2000,queued,true,271037da-34f2-812c-a3e5-c9bc7ff75829,2025-09-14T06:17:18.719697+00:00,,,1d315a99-903c-4355-9a5c-9b7104926c5d,90ba0aef-212c-4329-9ff0-ac56831b77ba
